Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_VIXD,CBOE S&P 500 Volatility Index (VIX),Stocks - Technical Indicators,Non Currency Series,United States,,,,,,,Index Number ,Units,Stock,none,Daily From Jan 1986 To Apr 2022<BR>,,
Date,Ticker,Open,High,Low,Close
03/17/1999,_VIXD,,,,27.28
03/18/1999,_VIXD,,,,25.95
03/19/1999,_VIXD,,,,25.84
03/22/1999,_VIXD,,,,26.65
03/23/1999,_VIXD,,,,29.11
03/24/1999,_VIXD,,,,28.31
03/25/1999,_VIXD,,,,25.44
03/26/1999,_VIXD,,,,25.83
03/29/1999,_VIXD,,,,24.36
03/30/1999,_VIXD,,,,23.74
03/31/1999,_VIXD,,,,24.45
04/01/1999,_VIXD,,,,23.34
04/05/1999,_VIXD,,,,22.81
04/06/1999,_VIXD,,,,22.95
04/07/1999,_VIXD,,,,23.53
04/08/1999,_VIXD,,,,23.33
04/09/1999,_VIXD,,,,22.91
04/12/1999,_VIXD,,,,23.66
04/13/1999,_VIXD,,,,24.42
04/14/1999,_VIXD,,,,27.43
04/15/1999,_VIXD,,,,24.77
04/16/1999,_VIXD,,,,25.48
04/19/1999,_VIXD,,,,28.56
04/20/1999,_VIXD,,,,26.93
04/21/1999,_VIXD,,,,24.55
04/22/1999,_VIXD,,,,23.98
04/23/1999,_VIXD,,,,23.96
04/26/1999,_VIXD,,,,23.91
04/27/1999,_VIXD,,,,24.19
04/28/1999,_VIXD,,,,25.84
04/29/1999,_VIXD,,,,25.95
04/30/1999,_VIXD,,,,26.07
05/03/1999,_VIXD,,,,24.75
05/04/1999,_VIXD,,,,27.19
05/05/1999,_VIXD,,,,25.98
05/06/1999,_VIXD,,,,29.27
05/07/1999,_VIXD,,,,26.72
05/10/1999,_VIXD,,,,27.42
05/11/1999,_VIXD,,,,26.37
05/12/1999,_VIXD,,,,27.82
05/13/1999,_VIXD,,,,26.46
05/14/1999,_VIXD,,,,29.66
05/17/1999,_VIXD,,,,28.24
05/18/1999,_VIXD,,,,28.21
05/19/1999,_VIXD,,,,26.24
05/20/1999,_VIXD,,,,26.26
05/21/1999,_VIXD,,,,25.36
05/24/1999,_VIXD,,,,28.65
05/25/1999,_VIXD,,,,29.58
05/26/1999,_VIXD,,,,28.28
05/27/1999,_VIXD,,,,28.69
05/28/1999,_VIXD,,,,26.38
06/01/1999,_VIXD,,,,27.92
06/02/1999,_VIXD,,,,26.23
06/03/1999,_VIXD,,,,27.52
06/04/1999,_VIXD,,,,23.45
06/07/1999,_VIXD,,,,23.47
06/08/1999,_VIXD,,,,24.16
06/09/1999,_VIXD,,,,24.2
06/10/1999,_VIXD,,,,25.39
06/11/1999,_VIXD,,,,27.01
06/14/1999,_VIXD,,,,27.39
06/15/1999,_VIXD,,,,28.23
06/16/1999,_VIXD,,,,23.21
06/17/1999,_VIXD,,,,22.54
